Maamobi,Greater Accra,Ghana,5.6,-0.2,
Madina,Greater Accra,Ghana,5.67,-0.16,
Maiyera,Greater Accra,Ghana,5.73,-0.28,
Makola,Greater Accra,Ghana,5.5478312,-0.2158962,
Mallam,Greater Accra,Ghana,5.5718343,-0.295393,
Mamobi,Greater Accra,Ghana,5.6,-0.2,
Mampehia,Greater Accra,Ghana,5.73,-0.49,
Mampoase,Greater Accra,Ghana,5.53,-0.27,
Mamprobi,Greater Accra,Ghana,5.54,-0.24,
Manhean,Greater Accra,Ghana,5.64,-0.35,
Manokwa,Greater Accra,Ghana,5.63,-0.6,
Mataheko,Greater Accra,Ghana,5.56,-0.25,
Mayera,Greater Accra,Ghana,5.73,-0.28,
Medina Estates,Greater Accra,Ghana,5.67,-0.16,
Mensakwa,Greater Accra,Ghana,5.55,-0.57,
Mepeasm,Greater Accra,Ghana,5.65,-0.16,
Meponi,Greater Accra,Ghana,5.8,-0.6,
Mfojoboating,Greater Accra,Ghana,5.78,-0.47,
Midie,Greater Accra,Ghana,5.76,-0.32,
Ministries,Greater Accra,Ghana,5.55,-0.2,
Minkumidie,Greater Accra,Ghana,5.8,-0.57,
Miotso,Greater Accra,Ghana,5.6676572,-0.2163901,
Mpehuasem,Greater Accra,Ghana,5.65,-0.16,
Mpehuasem,Greater Accra,Ghana,5.6,-0.22,
Mpehuasem,Greater Accra,Ghana,5.79,-0.29,
Mpekadam,Greater Accra,Ghana,5.8,-0.22,
Mpuase,Greater Accra,Ghana,5.53,-0.27,
Nankanso,Greater Accra,Ghana,5.77,-0.47,
Nankanso,Greater Accra,Ghana,5.75,-0.47,
Nchechireche,Greater Accra,Ghana,5.8,-0.58,
New Achimota,Greater Accra,Ghana,5.63,-0.26,
New Fadema,Greater Accra,Ghana,5.59,-0.25,
New Mamprobi,Greater Accra,Ghana,5.54,-0.25,
New Russia,Greater Accra,Ghana,5.55,-0.26,
Niayano,Greater Accra,Ghana,5.47,-0.41,
Niiboye Town,Greater Accra,Ghana,5.61,-0.26,
Nima,Greater Accra,Ghana,5.58,-0.2,
Ninyano,Greater Accra,Ghana,5.47,-0.41,
Nkotunsi,Greater Accra,Ghana,5.74,-0.32,
Nkwantanang,Greater Accra,Ghana,5.5,-0.49,
Nmai Dzorn,Greater Accra,Ghana,5.6772606,-0.1202411,
North Dzorwulu Residential Area,Greater Accra,Ghana,5.62,-0.19,
North Industrial Area,Greater Accra,Ghana,5.58,-0.22,
North Industrial Area, Accra,Greater Accra,Ghana,5.5839547,-0.2417491,
North Kaneshie,Greater Accra,Ghana,5.59,-0.24,
North Labone Estate,Greater Accra,Ghana,5.57,-0.18,
North Ordokor,Greater Accra,Ghana,5.58,-0.27,
North Ridge,Greater Accra,Ghana,5.57,-0.19,
Nsaki,Greater Accra,Ghana,5.79,-0.23,
Nsakina,Greater Accra,Ghana,5.66,-0.32,
Nsumia,Greater Accra,Ghana,5.79,-0.35,
Nsuobri,Greater Accra,Ghana,5.74,-0.5,
Nungua,Greater Accra,Ghana,5.6,-0.08,
Nungua Old Town,Greater Accra,Ghana,5.59,-0.08,
Nungua Salem,Greater Accra,Ghana,5.6,-0.07,
Nungwa,Greater Accra,Ghana,5.6,-0.08,
Nyanawase,Greater Accra,Ghana,5.79,-0.39,
Nyaniba Estates,Greater Accra,Ghana,5.56,-0.18,
Nyanyanu,Greater Accra,Ghana,5.47,-0.41,
Obakrowa,Greater Accra,Ghana,5.67,-0.4,
